isbn,name,shelf,author
9785170826940,Имя розы,one-one,Умберто Эко
9785699934164,Не отпускай меня,one-one,Кадзуо Исигуро
9785179828532,О мышах и людях,one-one,Джон Стейнбек
9785751613952,Убежище,one-one,Анна Франк
9785170810727,Мизери,one-one,Стивен Кинг
9785386108458,Средний Пол,one-one,Джеффри Евгенидис
9785170793495,Инферно,one-one,Дэн Браун
9785389102453,Завтрак у Sotheby's,one-one,Филип Хук
9785171091453,Метель,one-one,Владимир Г. Сорокин
9785171362539,Доктор Гарин,one-one,Владимир Г. Сорокин
9785906837622,Sapiens,one-one,Юваль Ной Харари
9785699675265,Коллекционер,one-one,Джон Фаулз
9785699545872,Дэниел Мартин,one-one,Джон Фаулз
9785699446957,Волхв,one-one,Джон Фаулз
Нету (84.4.РР-44 / Б21),Шагреневая кожа - Эжени Гранде - Отец Горио,one-one,Оноре де Бальзак
9785389125872,Клуб неисправимых оптимистов,one-one,Жан-Мишель Генассия
9788202576480,Papirslottet - Alvøpiken,one-one,May Lis Ruus
9788283130478,Den ene pluss en,one-one,Jojo Moyes
9785170821495,Сафон - Тень ветра,one-one,Карлос Руис
9785389130807,99 франков,two-one,Фредрик Бегбедер
9785171378257,Защита Лужина,two-one,Владимир Набоков
9785171373894,Камера обскура,two-one,Владимир Набоков
9785171378370,Другие берега ,two-one,Владимир Набоков
9785171378325,"Король, дама, валет",two-one,Владимир Набоков
9785171378332,Приглашение на казнь,two-one,Владимир Набоков
9785171373870,Лолита,two-one,Владимир Набоков
9785864718629,Непосредственный человек,two-one,Ричард Руссо
9785699508730,Жизнь и судьба,two-one,Василий Гроссман
9785389047389,Фауст,two-one,Иоганн Вольфганг Гёте
9785389047273,Госпожа Бовари,two-one,Гюстав Флобер
9785171126957,Пищеблок,two-one,Алексей Иванов
9785171072834,Женщины Лазаря,two-one,Марина Степнова
9785699373437,Белая голубка Кордовы,two-one,Дина Рубина
9785815904941,Азазель,two-one,Борис Акунин
9785271453854,Лавр,two-one,Евгений Водолазкин
9785170966554,Авиатор,two-one,Евгений Водолазкин
9785699356461,Гордость и предубеждение,two-one,Джейн Остен
9785170637140,Поющие в терновнике,two-one,Колин Маккалоу
9785847506540,Двенадцать стульев - Золотой Теленок,two-one,И. Ильф и Е. Петров
